text,label
heres how ya win dont let the other guy hit back first jula goblin raider,0
unpredictable as a storm and destructive as a tidal wave,1
our unity conquers all fears,1
the destruction of a wildfire with the tenacity of a jungle vine,1
this fight was over the moment you picked up that clumsy cleaver of a sword,1
secure in the embrace of wood they want no part of eladamris war,0
nothing restrains a burning passion,0
akroma asked for only one thing from her troops unwavering unconditional loyalty,1
peace hath her victories no less renownd than war john milton to the lord general cromwell,1
knights kept returning from ogres pass wearing nothing but bruises so they decided to just pretend it was on their side,1
words never uttered by mortals flowed incessantly from its many mouths,0
words never uttered by mortals flowed incessantly from its many mouths,0
there is no calamity greater than lavish desires there is no greater guilt than discontentment and there is no greater disaster than greed lao tsu tao te ching trans chan,1
there is no calamity greater than lavish desires there is no greater guilt than discontentment and there is no greater disaster than greed lao tsu tao te ching trans chan,1
take the sharp metal stick and make a lotta holes jula goblin raider,1
they soar and the mystics follow,1
a cage may keep you in but it does not keep the stones out,1
knowing the hymns power the followers of leitbur carefully guarded their pillaged transcriptions,1
the river heralds would wreck a thousand ships to keep intruders from finding the golden city,1
there is always a rabble to be roused,0
youre telling me we spent a year securing the sanctuary against pterosaurs rambeasts and nightfangs    and we were robbed by what endris drannith magistrate,1
leave it to a boggart to come up with a projectile as disgusting as it is deadly,1
the archon fell like a star from the sky meeting the rising sun at the horizons edge the cosmogony,1
an invasion weapon of ages past the glistening oil contained the blueprints of countless atrocities,1
buying old worn out junk selling marvels of real value,1
his family was a small price to pay for the dark gifts that called to him,1
recruits arent always volunteers,0
in my moment of death i had a vision of the world dark and unwelcoming i wanted to hide in the deepest meander but the light pulled me back,1
gambling with mages never is remin venerable monk,1
chittychittybang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang bang,1
a servant of pharika must know countless balms that heal and sootheand countless more that do the opposite,1
the only way to get mercadians to fight on the front lines is to give them really long weapons gerrard,0
nothing lives within it yet there is life,1
a small price to keep such pretty things safe,0
kediss loves molten metal searing flames and head scratches,1
you never know whats going to be in goblin tunnels even in the best case there will still be goblins sachir akoum expeditionary house,1
often greatly outnumbered in battle dwarves relied on catapults as one means of damaging a large army sarpadian empires vol iv,0
they are trained from hatching to deliver aid where it is needed most,0
an ancient court mage unified the houses into guilds to serve zhalfir above their own interests even during the civil war the guilds stood together a testament to the wisdom of teferi afari tales,1
be as fast as lightning and you will be just as deadly combat trainer,1
the welcoming appearance of the arrow bamboo forest masks its deathly hostility,1
let moss grow over gargoyles gavony saying meaning forget painful memories,1
the greatest idea the zombie ever had in its head wasnt even its own,1
an angels blessing prepares a soldier for war better than a thousand military drills,1
legend has it that the mine howls out the last words of those who died inside,1
until the rebellion thrulls served their masters faithfullyeven at the cost of their own lives sarpadian empires vol ii,1
retribution is best delivered by claws and rage with both magnified ajani,1
you dont want to know how she got that name,1
the breakthroughs granted by keranos god of epiphany can be surprisingly literal,1
a skullkeeper is the first to arrive after the palace archers strike down intruders probing their brains for choice bits of knowledge,0
no good will come from what you seek turn back now or suffer an ignoble death far from your home,1
egon ages backward his wisdom soured by youthful spite,1
zombies have one speed shamble,0
like a volcano it too can erupt without warning,0
the wave of lava seared cloth from skin skin from flesh and flesh from bone,1
we all hide a little madness behind our sophistication do we not,0
it turns the adversity of the moment into the knowledge of a lifetime,0
it is the fate of the weak to fall garruk wildspeaker,1
north america vintage championship,1
poets speak of your unrivaled speed the champion said to the assembled centaurs but it is plain to see that your true strength lies in your unwavering loyalty to one another the theriad,1
you may even see them again full digestion takes three hundred years,1
if a boggart even dares breathe near one of my kin ill know and ill not be happy,0
i drink of those who are worthy of my palate the rest i burn,1
in the chaos brought by the new gods swiftwinged aven served as pathfinders leading the last of the people away from the ruins of naktamun,1
the path offered by the academy is long and difficult but those who brave it arrive at wisdom beyond compare,0
you wish to remember this lesson i will write it down for you senifet vizier of bontu,1
if we fight as one nothing can stand in our way,1
the goblins would kill to get ahold of this one arcum dagsson soldevi machinist,1
the best servants are made from those who died without a scratch sidisi khan of the sultai,1
never underestimate our enemys strength brutality    or stupidity commander eesha,1
ora ondar the khalni garden is a lush tangle of growth in the harsh lands of akoum its plant growth is marvelously diverse a brilliant spectrum of vibrant life    and speedy death,1
broad as a baobaband about as smart,1
i will be your most demanding master liliana but i have great things in mind for you,1
goblin innovator goblin corpse tomayto tomahto,1
no matter the cruelty of okos jokes hes always guaranteed the sycophants laughter,1
akoum can make any intruder look small,1
no longer the village pariah no longer taunted and shamed sigrun was finally free,0
now did i file that away under c for combo or f for finisher,1
shadows coiled around the witnesss mind then the moment vanished leaving only the sting of its loss,1
those talons really dig into your skin but its better than being dropped rafiq of the many,1
we could no more abandon the forest than the stars could abandon the night sky,0
these eyes have shown me the flaws of flesh,1
my people are bound by masters centuries dead each artifact we destroy is another link broken in that chain barb tail viashino heretic,1
its victims feel only an itchy wriggling feeling just under their skin by then its far too late,1
to survive we must embrace the savagery we knew in our races infancy edgar markov,1
i fight for the suns the surface and everything in between,0
we have built a wall upon sand the wall will vanish the sand will remain oracle envec,1
when a changeling adopts a form no other changeling has taken a rune appears in the caverns of velis vel to mark the event,1
the first satyr to wake after a revel must search for the site of the next one,1
when it takes forever to learn all the rules no time is left for breaking them,1
finders keepers,0
crovax had witnessed selenia lead the predator to the weatherlight as the battle raged on deck he felt his strength melt in the heat of her betrayal,0
it is a grim duty to save the world from those created to protect it,0
world champion javier domnguez,1
forget that which was never known spellbomb inscription,0
the larger the crowd the harder it is for them to run away,1
the behemoth roared and the world was blasted free of empires and tyrants,1
forever restless forever growing in number,1
with this throne unite your nation throne inscription,0
shields up spears out heels set hearts firm,1
once i looked to the mists for wisdom now i wish only for understanding,1
the secret to our war paint is hot peppers and stinkbugs lots of stinkbugs skab goblin secretkeeper,0
i bring a death 0 can escape,1
i have been found worthy by this great house,1
it doesnt need to feed but still it hungers,1
i am a dragonslayer for lord silumgar there is no dragon save him whom i fear xathi the infallible,1
who said there are no assurances in life i assure you this is going to hurt,1
a single grain of sand is insignificant but a sandstorm can reduce pyramids to dust stand with your crop become the storm oketra god of solidarity,1
shed your faded husk emerge sleeker and stronger tyris fauna shaman,1
ivold gasped in surprise either a very strange insect had crawled onto one of the lenses or he was seeing geists at last,1
the structure gets bigger every hour with hedrons coalescing even deep under the surface if i could only get inside,1
kongmings predecessor helped liu bei win the battle of fancheng by recognizing and defeating cao rens use of the dreaded eight gold locks formation,1
my people serve the dragon kolaghan but i give my blood for a greater lord,0
like nature the fern spirals back on itself eternally seeking its own center,1
many hands make light work ludevic necroalchemist,1
